bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
K0QL8A12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
TK4KLX15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
K0937A12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
RA7M1512,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
UFEV3X14,6.95,52,0.09,0.84,3.47,27.8,123.2,381.74,389.3,32.07,2.085,3.207,370.5,5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
R2T8HK12,7.39,48,0.02,10.74,2.15,28.9,251.8,220.88,131.1,44.6,1.455,1.416,16.69,6.77,Upper-range,50%-75%,Low-range,Upper-range,50%-75%,Upper-range,Upper-range,50%-75%,Low-range,Upper-range,50%-75%,Low-range,Low-range,50%-75%
J86L5X13,7.3,42,0.02,1.7,2.1,17.5,199.7,229.7,143.5,10.6,0.9,1.7,28.4,5,50%-75%,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,50%-75%,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range
RLTE1T12,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
L096T515,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
PL86NN14,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
U5481M14,7.15,50,0.075,1.06,3.27,27.1,87,377,321,50.5,1.55,2.82,199,5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,Low-range
YC3U8P12,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
CA782E13,4.8,40,0.04,0.2,0.9,50.6,127.3,209.7,328.4,13.1,1,4.1,285.3,5,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Upper-range,Low-range
KVN2ER12,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
F2PEVT15,6.5,54,0.04,0.5,2.4,45.6,290.1,209.8,250.6,23.6,2.1,5.8,176.1,5,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,Upper-range,25%-50%,25%-50%,Low-range,Upper-range,Upper-range,Upper-range,Low-range
CLAUKW13,7.5,45,0.03,10.4,1.6,36.6,58.8,139.7,555,75.2,1.8,1.5,19.2,8.3,Upper-range,25%-50%,50%-75%,Upper-range,25%-50%,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,Low-range,Low-range,Upper-range
H8HXEW15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
KJH80112,7.3,56,0.02,9.8,3,15.6,270.2,235.6,426.1,52,2.4,4.8,16.1,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Low-range,Low-range
CK007A13,6.6,46,0.02,0.2,1.3,25.6,23.8,153.9,195,32,2,2.9,130.6,5,25%-50%,25%-50%,Low-range,Low-range,Low-range,Upper-range,Low-range,Low-range,25%-50%,50%-75%,Upper-range,50%-75%,50%-75%,Low-range
XL2YYQ12,7.2,45,0.04,1.5,1.4,15.5,91.5,250.5,184.7,47.8,0.7,3.8,42,30.3,50%-75%,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range
KH0VEJ12,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
L3KLLQ15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
R27FD312,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
W0DCQK12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
LXDUHK15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
T09C7X15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
JKM88F13,7.2,44,0.02,1,2.7,11.1,182.2,292.3,165.1,18.4,0.9,2.2,70.7,5,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range,50%-75%,50%-75%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,Low-range
X61LPM12,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
QLUTKR13,7.2,44,0.02,1,2.7,11.1,182.2,292.3,165.1,18.4,0.9,2.2,70.7,5,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range,50%-75%,50%-75%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,Low-range
DT2VP213,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
TW5VFH15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
R5VND212,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
RLMFD212,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
F4YURF15,4.5,53,0.02,0.2,1.8,3.8,7.9,190.2,652.8,17.3,1.9,2.7,198.8,5,Low-range,Upper-range,Low-range,Low-range,25%-50%,Low-range,Low-range,25%-50%,Upper-range,Low-range,Upper-range,50%-75%,Upper-range,Low-range
DNL27513,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
WTUV5R12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
E0C9JV15,7.1,50,0.03,4.3,2.5,27,1062.9,721.1,242.9,46.6,1.2,2.8,16.9,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range,Low-range
HT1DLL15,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
T0N9HJ15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
YNY4EC12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
K4V2E712,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
N2QFMR13,7.6,33,0.02,0.5,1.2,4.3,121.96735611,347.06504,86.275,41.255284,1.0138,1.6826,61.692,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range
D4C3TY13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
U24D6U14,7.5,38,0.02,1.9,1.5,7.6,153.9,177.599632,98.195,24.361416,0.5896,0.983,23.5422,5,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range
L4P6LH15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
EJ43N415,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
HP06L815,7.5,38,0.02,8.2,2.4,12.1,285.9,315.4,235.4,49.3,1.6,1,14.5,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Low-range
Q099UD14,5.1,46,0.02,0.2,1.4,12.3,54,214.945674076443,464.625,45.5422897009435,4.399,2.7316,186.614,5,Low-range,25%-50%,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Low-range
L25ME515,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
V7WVY313,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
TMU38W15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
HJ7JLN15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
EC3Y7C15,6.47,46,0.05,0.1,1.91,3.8,76,243,187,74.7,3.2,8.1,166,16.5,25%-50%,25%-50%,Upper-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
FAF7TK15,5.6,60,0.03,0.2,2.4,20.8,122.2,216.8,408.6,15.7,4.5,7.3,423,5,Low-range,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,25%-50%,25%-50%,Upper-range,Low-range,Upper-range,Upper-range,Upper-range,Low-range
P3JLMT14,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
EUJ3NU15,5.3,68,0.04,0.2,1.9,13.1,93,257.3,1212.8,89.7,4.5,12.9,114.3,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
C7JXFQ13,7.2,51,0.03,37.9,3.2,50.4,275.5,243,184.5,60.2,2.4,1.5,21.3,5,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,Low-range,Low-range,Low-range
Y756J812,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
U3MV1P14,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
U9EV3R14,6.76,55,0.095,0.1,3.69,33.3,53.96,450.79,406.6,40.82,1.61,4.709,448,5.61307,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%
D2UC0U13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
X1A4TD12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
HUWT5H15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
QPRDRL13,7.5,43,0.02,1.3,3,15,537.24062097,524.640592,234.15,47.80182,1.2252,1.1702,37.7266,5,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Low-range,25%-50%,Low-range
T74NLP15,6.6,44,0.02,0.3,2.4,11.4,98.5,242.3,233,15.4,1.2,2.9,433.2,5,25%-50%,25%-50%,Low-range,50%-75%,50%-75%,Low-range,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,50%-75%,Upper-range,Low-range
WTTJFP12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
W7VRPN12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
X5H41W12,7.1,39,0.02,5.1,2.1,19.3,254.4,189.71451818762,130.28125,37.3835772973835,1.122,1.8968,25.878,5,50%-75%,Low-range,Low-range,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Low-range,50%-75%,25%-50%,25%-50%,Low-range,Low-range
WAA9MN12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
V3HVUD13,7.3,40,0.02,0.7,2,11.3,81.2,196.5,159.5,16.5,0.6,2.1,99.9,15.6,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,25%-50%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,Upper-range
TLTATM15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
C9AUXY13,4.3,42,0.02,0.2,1,8.3,110.7,154.4,291.3,24.5,0.6,3.1,212,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range
CE2JF213,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
D3D2DJ13,7.2,55,0.02,14.7,1.9,26.7,189.9,147,275.1,30,1.7,6.1,40.5,5,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,25%-50%,25%-50%,50%-75%,Upper-range,25%-50%,Low-range
K7YHU912,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
D07CJP13,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
TFKVXX15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
X11QTP12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
J2K7J413,7.6,39,0.02,9.6,1.5,9.7,282.3,200.7,115.4,15.4,0.4,1,8.2,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,Low-range,Upper-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
H4MJPR15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
E9EPNT15,5.3,68,0.04,0.2,1.9,13.1,93,257.3,1212.8,89.7,4.5,12.9,114.3,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
F087RY15,5.5,49,0.02,0.2,2.5,9.5,97.9,207.1,543.6,17.9,3,5.5,171.9,5,Low-range,Upper-range,Low-range,Low-range,50%-75%,Low-range,25%-50%,25%-50%,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,Low-range
WA5AKF12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
NYAAEX13,7.5,43,0.02,2.6,2.5,7,150.5,217.076384,60.22625,15.557752,3.0224,0.8298,5.331,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
FDYUVU15,5.2,52,0.02,0.2,1.9,15,48.2,163,455.4,25.6,3.1,6.6,238,5,Low-range,Upper-range,Low-range,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Low-range
LFYM8715,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
KLXFE612,7,58,0.02,2.6,2.9,7.2,267.7,209.9,314.1,59.2,1.2,4.3,23.9,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,50%-75%,Upper-range,25%-50%,Upper-range,Low-range,Low-range
LRKKF815,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
E5C9K315,7.1,50,0.03,4.3,2.5,27,1062.9,721.1,242.9,46.6,1.2,2.8,16.9,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range,Low-range
VQ1AEL13,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
DDENPT13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
MJJLVE14,6.9,50,0.05,1.3,2.5,34.3,195.1,238.7,440.3,31.9,1.7,3.7,153.7,21.6,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,50%-75%,50%-75%,Upper-range
N8MXA213,7.5,43,0.02,2.6,2.5,7,150.5,217.076384,60.22625,15.557752,3.0224,0.8298,5.331,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range
UYEUJV14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
DYHWWW13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
L4YLTD15,5.76,59,0.09,0.1,3.0475,4.77,23.55,331.01,1049,62.6,1.693,6,73.63,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
UW5F3P14,6.48,59,0.09,0.1,3.69,25.8,110.6,587.32,445.8,45.21,2.608,4.96,474.8,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,Low-range
TFLAT915,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
N5Q9VX13,7.6,37,0.02,9.69,2.67,23.5,49,171,125,33.7,0.67,1.39,16.5,7.521625,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,Low-range,25%-50%,Low-range,50%-75%,Low-range,Low-range,Low-range,Upper-range
